instance,method,time,best_obj
OR5x500-0.25_1.dat-100,MibS-First,30.0,123807.0
bmilplib_10_10,MibS-First,0.0,-372.0
OR5x500-0.25_5.dat-50,MibS-First,161.0,116012.0
miblp_20_20_50_0110_5_5,MibS-First,0.0,-392.0
general20-20-10-20-20-2,MibS-First,0.0,300013.0
neos-4954672-berkel_50_50,MibS-First,3600,1e+20
nursesched-sprint02_50_50,MibS-First,3600,1e+20
interKP-400-100-6-6,MibS-First,25.0,11497.0
plusBCPIns_10_7_6,MibS-First,0.0,5.0
BCPIns_12_7_7.txt_trad.txt_K12,MibS-First,0.0,5.0
plusBCPIns_10_7_7,MibS-First,0.0,5.0
interKP-400-100-6-7,MibS-First,36.0,10201.0
OR5x100-0.50_3.dat-0,MibS-First,60.0,35240.0
bmilplib_110_1,MibS-First,0.0,-169.472
normalClique50-90-2,MibS-First,0.0,19.0
OR30x250-0.75_2.dat-100,MibS-First,18.0,55283.0
normalClique50-90-3,MibS-First,0.0,21.0
h80x6320d_0_100,MibS-First,3600,1e+20
OR5x250-0.50_5.dat-0,MibS-First,2213.0,93528.0
K5010W03.KNP,MibS-First,0.0,526.0
OR30x500-0.50_2.dat-100,MibS-First,79.0,147859.0
OR10x500-0.25_6.dat-50,MibS-First,3600,1e+20
neos-2746589-doon_100_0,MibS-First,3600,1e+20
bmilplib_60_10,MibS-First,0.0,-169.873
interKP-200-100-7-3,MibS-First,0.0,2808.0
OR30x500-0.75_8.dat-100,MibS-First,108.0,105208.0
xuLarge800-1,MibS-First,12.0,-92.0
interKP-200-100-7-2,MibS-First,0.0,1872.0
gmu-35-40_50_50,MibS-First,3600,1e+20
OR5x500-0.50_5.dat-0,MibS-First,3600,1e+20
OR30x250-0.50_8.dat-100,MibS-First,23.0,73276.0
pet7.dat-0,MibS-First,1.0,7485.0
OR30x250-0.50_6.dat-50,MibS-First,3600,1e+20
general20-20-20-20-20-4,MibS-First,0.0,99747.0
OR10x500-0.25_4.dat-100,MibS-First,25.0,124609.0
general20-20-20-20-20-5,MibS-First,0.0,299848.0
K5010W04.KNP,MibS-First,0.0,2716.0
BCPIns_8_9_5.txt_trad.txt_K7,MibS-First,0.0,4.0
nexp-150-20-8-5_100_0,MibS-First,3600,1e+20
interKP-300-100-8-1,MibS-First,1.0,2066.0
interKP-100-100-8-4,MibS-First,1.0,2052.0
interKP-100-100-8-5,MibS-First,2.0,2494.0
OR10x250-0.75_7.dat-50,MibS-First,1004.0,55933.0
weish12.dat-50,MibS-First,0.0,3600.0
pg_0_100,MibS-First,3600,1e+20
OR10x500-0.25_2.dat-0,MibS-First,3600,1e+20
n3seq24_100_0,MibS-First,3600,1e+20
OR10x100-0.50_8.dat-100,MibS-First,4.0,30951.0
ns1830653_100_0,MibS-First,3600,1e+20
