instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n10_r20_d30_2.txt,2,colgen-ext,10,4,0,113.844,138.290,6,Optimal,0.00000,default
instance_n10_r10_d5_1.txt,2,colgen-ext,10,1,0,2.942,191.200,2,Optimal,0.00000,default
instance_n10_r5_d10_4.txt,2,colgen-ext,10,6,0,2.814,180.000,1,Optimal,0.00000,default
instance_n15_r20_d10_3.txt,2,colgen-ext,15,2,0,47.106,199.405,4,Optimal,0.00000,default
instance_n5_r30_d5_1.txt,2,colgen-ext,5,2,0,0.005,15.000,1,Optimal,0.00000,default
instance_n10_r30_d20_1.txt,2,colgen-ext,10,6,0,4.194,117.000,1,Optimal,0.00000,default
instance_n10_r20_d20_4.txt,2,colgen-ext,10,2,0,23.638,113.030,4,Optimal,0.00000,default
instance_n15_r5_d5_3.txt,2,colgen-ext,15,7,0,2.964,458.000,1,Optimal,0.00000,default
instance_n15_r20_d10_1.txt,2,colgen-ext,15,5,0,20.442,131.000,1,Optimal,0.00000,default
instance_n15_r30_d20_0.txt,2,colgen-ext,15,9,0,7.582,201.000,1,Optimal,0.00000,default
instance_n15_r10_d5_2.txt,2,colgen-ext,15,7,0,5.420,361.000,1,Optimal,0.00000,default
instance_n10_r10_d5_3.txt,2,colgen-ext,10,6,0,2.109,166.000,1,Optimal,0.00000,default
instance_n15_r5_d20_3.txt,2,colgen-ext,15,8,0,195.437,226.000,1,Optimal,0.00000,default
instance_n15_r30_d10_4.txt,2,colgen-ext,15,1,0,40.031,135.929,2,Optimal,0.00000,default
instance_n5_r20_d5_0.txt,2,colgen-ext,5,3,0,0.144,39.000,1,Optimal,0.00000,default
instance_n10_r30_d20_3.txt,2,colgen-ext,10,1,0,109.742,60.882,3,Optimal,0.00000,default
instance_n5_r20_d30_2.txt,2,colgen-ext,5,2,0,8.900,92.000,1,Optimal,0.00000,default
instance_n5_r30_d10_0.txt,2,colgen-ext,5,3,0,0.590,75.000,1,Optimal,0.00000,default
